"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"63351","29139","Montgomery MO","JONESBURG",1177,0.738 
"63351","29219","Warren MO","JONESBURG",418,0.262 
"63352","29007","Audrain MO","LADDONIA",1208,0.951 
"63352","29173","Ralls MO","LADDONIA",62,0.049 
"63353","29163","Pike MO","LOUISIANA",5244,1 
"63357","29183","St. Charles MO","LAKE SHERWOOD",285,0.059 
"63357","29219","Warren MO","LAKE SHERWOOD",4576,0.941 
"63359","29007","Audrain MO","MIDDLETOWN",40,0.028 
"63359","29113","Lincoln MO","MIDDLETOWN",35,0.024 
"63359","29139","Montgomery MO","MIDDLETOWN",707,0.493 
"63359","29163","Pike MO","MIDDLETOWN",651,0.454 
"63361","29027","Callaway MO","MONTGOMERY CITY",289,0.068 
"63361","29139","Montgomery MO","MONTGOMERY CITY",3982,0.932 
"63362","29113","Lincoln MO","MOSCOW MILLS",4380,1 
"63363","29139","Montgomery MO","NEW FLORENCE",1575,0.956 
"63363","29219","Warren MO","NEW FLORENCE",73,0.044 
"63366","29183","St. Charles MO","SAINT PAUL",57519,1 
"63367","29183","St. Charles MO","LAKE SAINT LOUIS",8197,1 
"63369","29113","Lincoln MO","OLD MONROE",1978,1 
"63370","29113","Lincoln MO","OLNEY",41,1 
"63373","29183","St. Charles MO","PORTAGE DES SIOU",685,1 
"63376","29183","St. Charles MO","SAINT PETERS",68970,1 
"63377","29113","Lincoln MO","SILEX",2164,1 
"63379","29113","Lincoln MO","TROY",15290,1 
"63381","29113","Lincoln MO","TRUXTON",286,0.579 
"63381","29139","Montgomery MO","TRUXTON",105,0.213 
"63381","29219","Warren MO","TRUXTON",103,0.209 
"63382","29007","Audrain MO","VANDALIA",4555,0.919 
"63382","29163","Pike MO","VANDALIA",102,0.021 
"63382","29173","Ralls MO","VANDALIA",298,0.06 
"63383","29113","Lincoln MO","WARRENTON",136,0.011 
"63383","29219","Warren MO","WARRENTON",12052,0.989 
"63384","29007","Audrain MO","WELLSVILLE",134,0.063 
"63384","29027","Callaway MO","WELLSVILLE",21,0.01 
"63384","29139","Montgomery MO","WELLSVILLE",1962,0.927 
"63385","29183","St. Charles MO","WENTZVILLE",13931,1 
"63386","29183","St. Charles MO","WEST ALTON",598,1 
"63387","29113","Lincoln MO","WHITESIDE",95,1 
"63388","29027","Callaway MO","WILLIAMSBURG",636,1 
"63389","29113","Lincoln MO","WINFIELD",4580,1 
"63390","29113","Lincoln MO","WRIGHT CITY",745,0.107 
"63390","29219","Warren MO","WRIGHT CITY",6215,0.893 
"63401","29127","Marion MO","HANNIBAL",19484,0.89 
"63401","29173","Ralls MO","HANNIBAL",2407,0.11 
"63430","29045","Clark MO","ALEXANDRIA",662,1 
"63431","29121","Macon MO","ANABEL",385,1 
"63432","29045","Clark MO","ARBELA",105,0.153 
"63432","29199","Scotland MO","ARBELA",581,0.847 
"63433","29163","Pike MO","ASHBURN",56,1 
"63434","29111","Lewis MO","BETHEL",3,0.006 
"63434","29205","Shelby MO","BETHEL",500,0.994 
"63435","29045","Clark MO","CANTON",370,0.087 
"63435","29111","Lewis MO","CANTON",3891,0.913 
"63436","29173","Ralls MO","CENTER",1309,1 
"63437","29121","Macon MO","CLARENCE",27,0.017 
"63437","29137","Monroe MO","CLARENCE",77,0.047 
"63437","29205","Shelby MO","CLARENCE",1528,0.936 
"63438","29111","Lewis MO","DURHAM",411,0.793 
"63438","29127","Marion MO","DURHAM",107,0.207 
"63439","29127","Marion MO","EMDEN",46,0.231 
"63439","29205","Shelby MO","EMDEN",153,0.769 
"63440","29111","Lewis MO","EWING",1241,0.865 
"63440","29127","Marion MO","EWING",175,0.122 
"63440","29205","Shelby MO","EWING",18,0.013 
"63441","29163","Pike MO","FRANKFORD",1058,0.948 
"63441","29173","Ralls MO","FRANKFORD",58,0.052 
"63443","29127","Marion MO","HUNNEWELL",53,0.118 
"63443","29137","Monroe MO","HUNNEWELL",88,0.196 
"63443","29205","Shelby MO","HUNNEWELL",308,0.686 
"63445","29045","Clark MO","KAHOKA",4067,1 
"63446","29103","Knox MO","KNOX CITY",618,0.995 
"63446","29111","Lewis MO","KNOX CITY",3,0.005 
"63447","29111","Lewis MO","LA BELLE",1117,1 
"63448","29111","Lewis MO","LA GRANGE",1679,1 
"63450","29137","Monroe MO","LENTNER",44,0.247 
"63450","29205","Shelby MO","LENTNER",134,0.753 
"63451","29103","Knox MO","LEONARD",27,0.091 
"63451","29205","Shelby MO","LEONARD",270,0.909 
"63452","29111","Lewis MO","LEWISTOWN",1197,1 
"63453","29045","Clark MO","LURAY",496,1 
"63454","29111","Lewis MO","MAYWOOD",372,0.428 
"63454","29127","Marion MO","MAYWOOD",497,0.572 
"63456","29127","Marion MO","MONROE CITY",1116,0.265 
"63456","29137","Monroe MO","MONROE CITY",2537,0.603 
"63456","29173","Ralls MO","MONROE CITY",555,0.132 
"63457","29111","Lewis MO","MONTICELLO",289,1 
"63458","29103","Knox MO","NEWARK",229,1 
"63459","29163","Pike MO","NEW LONDON",79,0.021 
"63459","29173","Ralls MO","NEW LONDON",3723,0.979 
"63460","29103","Knox MO","NOVELTY",344,1 
"63461","29127","Marion MO","PALMYRA",5571,1 
"63462","29137","Monroe MO","PERRY",229,0.159 
"63462","29173","Ralls MO","PERRY",1214,0.841 
"63463","29127","Marion MO","PHILADELPHIA",639,0.994 
"63463","29205","Shelby MO","PHILADELPHIA",4,0.006 
"63464","29103","Knox MO","PLEVNA",43,1 
"63465","29045","Clark MO","REVERE",508,1 
"63468","29137","Monroe MO","SHELBINA",297,0.101 
"63468","29205","Shelby MO","SHELBINA",2652,0.899 
"63469","29103","Knox MO","SHELBYVILLE",3,0.002 
"63469","29205","Shelby MO","SHELBYVILLE",1232,0.998 
"63471","29111","Lewis MO","TAYLOR",61,0.092 
"63471","29127","Marion MO","TAYLOR",601,0.908 
"63472","29045","Clark MO","WAYLAND",511,1 
"63473","29045","Clark MO","WILLIAMSTOWN",67,0.238 
"63473","29111","Lewis MO","WILLIAMSTOWN",215,0.762 
"63474","29045","Clark MO","WYACONDA",598,0.957 
"63474","29111","Lewis MO","WYACONDA",15,0.024 
"63474","29199","Scotland MO","WYACONDA",12,0.019 
"63501","29001","Adair MO","KIRKSVILLE",21110,1 
"63530","29121","Macon MO","ATLANTA",987,1 
"63531","29103","Knox MO","BARING",397,0.705 
"63531","29199","Scotland MO","BARING",166,0.295 
"63532","29121","Macon MO","BEVIER",1367,1 
"63533","29001","Adair MO","BRASHEAR",819,0.987 
"63533","29103","Knox MO","BRASHEAR",11,0.013 
"63534","29121","Macon MO","CALLAO",816,0.971 
"63534","29175","Randolph MO","CALLAO",24,0.029 
"63535","29171","Putnam MO","COATSVILLE",7,0.073 
"63535","29197","Schuyler MO","COATSVILLE",89,0.927 
"63536","29197","Schuyler MO","DOWNING",701,0.824 
"63536","29199","Scotland MO","DOWNING",150,0.176 
"63537","29103","Knox MO","EDINA",1910,1 
"63538","29121","Macon MO","ELMER",293,1 
"63539","29121","Macon MO","ETHEL",289,1 
"63540","29001","Adair MO","GIBBS",160,1 
"63541","29197","Schuyler MO","GLENWOOD",420,1 
"63543","29199","Scotland MO","GORIN",412,1 
"63544","29001","Adair MO","GREEN CASTLE",371,0.425 
"63544","29171","Putnam MO","GREEN CASTLE",33,0.038 
"63544","29211","Sullivan MO","GREEN CASTLE",468,0.537 
"63545","29211","Sullivan MO","GREEN CITY",1175,1 
"63546","29001","Adair MO","GREENTOP",866,0.612 
"63546","29197","Schuyler MO","GREENTOP",543,0.383 
"63546","29199","Scotland MO","GREENTOP",7,0.005 
"63547","29001","Adair MO","HURDLAND",33,0.054 
"63547","29103","Knox MO","HURDLAND",574,0.946 
"63548","29197","Schuyler MO","LANCASTER",1255,1 
"63549","29001","Adair MO","LA PLATA",232,0.09 
"63549","29121","Macon MO","LA PLATA",2353,0.91 
"63551","29171","Putnam MO","LIVONIA",445,1 
"63552","29121","Macon MO","MACON",7868,1 
"63555","29199","Scotland MO","MEMPHIS",3309,1 
"63556","29211","Sullivan MO","MILAN",3933,1 
"63557","29115","Linn MO","NEW BOSTON",232,0.835 
"63557","29121","Macon MO","NEW BOSTON",41,0.147 
"63557","29211","Sullivan MO","NEW BOSTON",5,0.018 
"63558","29041","Chariton MO","NEW CAMBRIA",228,0.281 
"63558","29121","Macon MO","NEW CAMBRIA",583,0.719 
"63559","29001","Adair MO","NOVINGER",1386,0.955 
"63559","29171","Putnam MO","NOVINGER",66,0.045 
"63560","29171","Putnam MO","POLLOCK",14,0.05 
"63560","29211","Sullivan MO","POLLOCK",264,0.95 
"63561","29197","Schuyler MO","QUEEN CITY",1162,1 
"63563","29103","Knox MO","RUTLEDGE",205,0.372 
"63563","29199","Scotland MO","RUTLEDGE",346,0.628 
"63565","29171","Putnam MO","UNIONVILLE",3925,0.994 
"63565","29211","Sullivan MO","UNIONVILLE",23,0.006 
"63566","29115","Linn MO","WINIGAN",39,0.574 
"63566","29211","Sullivan MO","WINIGAN",29,0.426 
"63567","29171","Putnam MO","WORTHINGTON",145,1 
"63601","29187","St. Francois MO","DESLOGE",15604,1 
"63620","29093","Iron MO","ANNAPOLIS",1172,0.834 
"63620","29123","Madison MO","ANNAPOLIS",161,0.115 
"63620","29179","Reynolds MO","ANNAPOLIS",72,0.051 
"63621","29093","Iron MO","ARCADIA",1139,0.932 
"63621","29123","Madison MO","ARCADIA",83,0.068 
"63622","29221","Washington MO","BELGRADE",904,1 
"63623","29093","Iron MO","BELLEVIEW",823,1 
"63624","29093","Iron MO","DESLOGE",162,0.045 
"63624","29187","St. Francois MO","DESLOGE",2959,0.826 
"63624","29221","Washington MO","DESLOGE",462,0.129 
"63625","29093","Iron MO","BLACK",50,0.093 
"63625","29179","Reynolds MO","BLACK",488,0.907 
"63626","29187","St. Francois MO","BLACKWELL",89,0.627 
"63626","29221","Washington MO","BLACKWELL",53,0.373 
"63627","29099","Jefferson MO","BLOOMSDALE",220,0.079 
"63627","29186","Ste. Genevieve MO","BLOOMSDALE",2549,0.921 
"63628","29186","Ste. Genevieve MO","BONNE TERRE",137,0.012 
"63628","29187","St. Francois MO","BONNE TERRE",11349,0.973 
"63628","29221","Washington MO","BONNE TERRE",181,0.016 
"63629","29065","Dent MO","BUNKER",364,0.257 
"63629","29179","Reynolds MO","BUNKER",897,0.633 
"63629","29203","Shannon MO","BUNKER",155,0.109 
"63630","29221","Washington MO","CADET",4224,1 
"63631","29093","Iron MO","CALEDONIA",184,0.193 
"63631","29221","Washington MO","CALEDONIA",769,0.807 
"63633","29179","Reynolds MO","CENTERVILLE",712,1 
"63636","29093","Iron MO","DES ARC",595,0.87 
"63636","29123","Madison MO","DES ARC",58,0.085 
"63636","29223","Wayne MO","DES ARC",31,0.045 
"63637","29187","St. Francois MO","DOE RUN",807,1 
"63638","29179","Reynolds MO","ELLINGTON",2856,0.981 
"63638","29203","Shannon MO","ELLINGTON",54,0.019 
"63640","29186","Ste. Genevieve MO","FARMINGTON",1164,0.052 
"63640","29187","St. Francois MO","FARMINGTON",21420,0.948 
"63645","29123","Madison MO","MILLCREEK",10316,0.963 
"63645","29186","Ste. Genevieve MO","MILLCREEK",154,0.014 
"63645","29187","St. Francois MO","MILLCREEK",243,0.023 
"63648","29187","St. Francois MO","IRONDALE",102,0.075 
"63648","29221","Washington MO","IRONDALE",1253,0.925 
"63650","29093","Iron MO","IRON MOUNTAIN",4193,0.897 
"63650","29123","Madison MO","IRON MOUNTAIN",78,0.017 
"63650","29187","St. Francois MO","IRON MOUNTAIN",401,0.086 
"63653","29187","St. Francois MO","LEADWOOD",1045,1 
"63654","29093","Iron MO","LESTERVILLE",9,0.017 
"63654","29179","Reynolds MO","LESTERVILLE",533,0.983 
"63655","29017","Bollinger MO","MARQUAND",401,0.252 
"63655","29123","Madison MO","MARQUAND",1073,0.673 
"63655","29223","Wayne MO","MARQUAND",120,0.075 
"63656","29093","Iron MO","MIDDLE BROOK",358,0.762 
"63656","29179","Reynolds MO","MIDDLE BROOK",112,0.238 
"63660","29221","Washington MO","MINERAL POINT",4155,1 
"63662","29017","Bollinger MO","PATTON",1162,1 
"63663","29093","Iron MO","PILOT KNOB",585,1 
"63664","29221","Washington MO","POTOSI",8525,1 
"63665","29179","Reynolds MO","REDFORD",306,1 
"63670","29186","Ste. Genevieve MO","LAKE FOREST ESTA",11654,1 
"63673","29157","Perry MO","SAINT MARY",595,0.291 
"63673","29186","Ste. Genevieve MO","SAINT MARY",1447,0.709 
"63674","29221","Washington MO","TIFF",146,1 
"63675","29093","Iron MO","VULCAN",157,1 
"63701","29031","Cape Girardeau MO","CAPE GIRARDEAU",32331,1 
"63703","29031","Cape Girardeau MO","63703",9561,1 
"63730","29017","Bollinger MO","ADVANCE",421,0.127 
"63730","29031","Cape Girardeau MO","ADVANCE",385,0.116 
"63730","29207","Stoddard MO","ADVANCE",2522,0.758 
"63732","29031","Cape Girardeau MO","NEW WELLS",243,0.383 
"63732","29157","Perry MO","NEW WELLS",391,0.617 
"63735","29201","Scott MO","BELL CITY",54,0.06 
"63735","29207","Stoddard MO","BELL CITY",844,0.94 
"63736","29201","Scott MO","BENTON",3211,1 
"63738","29207","Stoddard MO","BROWNWOOD",74,1 
"63739","29031","Cape Girardeau MO","BURFORDVILLE",621,1 
"63740","29031","Cape Girardeau MO","CHAFFEE",1087,0.199 
"63740","29201","Scott MO","CHAFFEE",4379,0.801 
"63742","29201","Scott MO","COMMERCE",110,1 
"63743","29031","Cape Girardeau MO","DAISY",46,1 
"63747","29031","Cape Girardeau MO","FRIEDHEIM",388,1 
"63748","29157","Perry MO","FROHNA",1127,1 
"63750","29017","Bollinger MO","GIPSY",131,1 
"63751","29017","Bollinger MO","GLENALLEN",1029,1 
"63753","29017","Bollinger MO","GRASSY",259,1 
"63755","29031","Cape Girardeau MO","JACKSON",20710,1 
"63758","29201","Scott MO","KELSO",208,1 
"63760","29017","Bollinger MO","LEOPOLD",646,1 
"63763","29223","Wayne MO","MC GEE",138,1 
"63764","29017","Bollinger MO","SCOPUS",5624,0.972 
"63764","29031","Cape Girardeau MO","SCOPUS",160,0.028 
"63766","29017","Bollinger MO","MILLERSVILLE",153,0.162 
"63766","29031","Cape Girardeau MO","MILLERSVILLE",791,0.838 
