"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"66754","20107",46,0.096 
"66755","20001",1191,0.969 
"66755","20011",38,0.031 
"66756","20037",1094,1 
"66757","20125",232,0.059 
"66757","20205",3716,0.941 
"66758","20031",3,0.012 
"66758","20207",253,0.988 
"66759","20205",44,1 
"66760","20037",117,1 
"66761","20207",287,1 
"66762","20021",288,0.012 
"66762","20037",23790,0.988 
"66763","20037",2839,1 
"66767","20107",513,1 
"66769","20011",524,1 
"66770","20021",1064,1 
"66771","20133",1089,1 
"66772","20001",269,0.9 
"66772","20011",30,0.1 
"66773","20021",909,1 
"66775","20133",254,1 
"66776","20133",1023,0.885 
"66776","20205",133,0.115 
"66777","20073",77,0.102 
"66777","20205",7,0.009 
"66777","20207",668,0.888 
"66778","20021",149,1 
"66779","20011",701,1 
"66780","20011",32,0.055 
"66780","20037",433,0.744 
"66780","20133",117,0.201 
"66781","20021",1505,0.979 
"66781","20037",32,0.021 
"66782","20021",263,1 
"66783","20207",2487,1 
"66801","20017",171,0.006 
"66801","20111",30188,0.994 
"66830","20111",300,1 
"66833","20111",609,1 
"66834","20061",98,0.112 
"66834","20127",133,0.152 
"66834","20197",645,0.736 
"66835","20111",1347,0.999 
"66835","20127",2,0.001 
"66838","20017",5,0.025 
"66838","20115",8,0.04 
"66838","20127",186,0.935 
"66839","20031",4101,1 
"66840","20015",401,0.484 
"66840","20017",56,0.068 
"66840","20115",372,0.449 
"66842","20015",325,1 
"66843","20017",270,0.978 
"66843","20115",6,0.022 
"66845","20017",1222,1 
"66846","20017",18,0.005 
"66846","20111",61,0.015 
"66846","20127",3901,0.979 
"66846","20197",5,0.001 
"66849","20061",168,0.272 
"66849","20127",450,0.728 
"66850","20017",254,1 
"66851","20115",821,1 
"66852","20031",658,0.883 
"66852","20073",68,0.091 
"66852","20207",19,0.026 
"66853","20073",496,1 
"66854","20031",159,0.161 
"66854","20111",829,0.839 
"66856","20031",1416,0.869 
"66856","20139",214,0.131 
"66857","20031",950,1 
"66858","20017",5,0.009 
"66858","20115",523,0.991 
"66859","20115",170,0.929 
"66859","20127",13,0.071 
"66860","20073",1279,0.887 
"66860","20111",163,0.113 
"66861","20115",3405,1 
"66862","20017",161,1 
"66863","20073",65,1 
"66864","20031",39,0.073 
"66864","20111",494,0.927 
"66865","20111",1068,1 
"66866","20079",104,0.053 
"66866","20115",1869,0.947 
"66868","20031",4,0.005 
"66868","20111",790,0.959 
"66868","20139",30,0.036 
"66869","20017",868,1 
"66870","20073",237,0.908 
"66870","20207",24,0.092 
"66871","20031",1349,0.969 
"66871","20139",43,0.031 
"66872","20127",1043,1 
"66901","20029",6876,0.979 
"66901","20157",150,0.021 
"66930","20157",132,1 
"66932","20183",201,1 
"66933","20161",24,0.067 
"66933","20201",336,0.933 
"66935","20157",2848,1 
"66936","20089",556,1 
"66937","20027",385,0.407 
"66937","20201",560,0.593 
"66938","20027",1,0.001 
"66938","20029",993,0.866 
"66938","20157",99,0.086 
"66938","20201",54,0.047 
"66939","20089",45,0.069 
"66939","20157",607,0.931 
"66940","20157",417,1 
"66941","20089",334,1 
"66942","20089",304,0.968 
"66942","20157",10,0.032 
"66943","20201",584,1 
"66944","20201",295,1 
"66945","20201",1126,1 
"66946","20201",153,1 
"66948","20029",577,0.855 
"66948","20089",13,0.019 
"66948","20157",85,0.126 
"66949","20089",757,1 
"66951","20147",85,0.106 
"66951","20183",718,0.894 
"66952","20089",13,0.019 
"66952","20183",660,0.981 
"66953","20201",739,1 
"66955","20201",166,1 
"66956","20089",1308,1 
"66958","20201",371,1 
"66959","20157",272,1 
"66960","20157",220,0.978 
"66960","20201",5,0.022 
"66962","20027",17,0.058 
"66962","20201",275,0.942 
"66963","20089",182,1 
"66964","20157",333,1 
"66966","20157",662,1 
"66967","20183",2430,1 
"66968","20201",1787,1 
"66970","20089",135,1 
"669XX","20183",13,1 
"67001","20173",1133,1 
"67002","20015",9357,1 
"67003","20077",2912,1 
"67004","20077",58,0.062 
"67004","20191",882,0.938 
"67005","20035",16256,1 
"67008","20015",172,0.219 
"67008","20035",615,0.781 
"67009","20077",875,1 
"67010","20015",12983,1 
"67012","20015",94,1 
"67013","20191",3350,1 
"67016","20173",355,1 
"67017","20015",1823,0.939 
"67017","20173",119,0.061 
"67018","20077",150,0.974 
"67018","20191",4,0.026 
"67019","20035",1067,1 
"67020","20079",1401,0.799 
"67020","20155",313,0.178 
"67020","20173",40,0.023 
"67021","20151",102,1 
"67022","20077",2,0.001 
"67022","20191",1814,0.999 
"67023","20035",240,1 
"67024","20019",986,0.911 
"67024","20035",96,0.089 
"67025","20095",614,0.177 
"67025","20155",25,0.007 
"67025","20173",2837,0.816 
"67026","20173",4203,0.958 
"67026","20191",186,0.042 
"67028","20007",41,0.155 
"67028","20097",34,0.129 
"67028","20151",189,0.716 
"67029","20033",1049,0.991 
"67029","20097",9,0.009 
"67030","20173",2361,1 
"67031","20173",41,0.017 
"67031","20191",2317,0.983 
"67035","20095",959,0.875 
"67035","20151",93,0.085 
"67035","20155",44,0.04 
"67036","20077",182,1 
"67037","20173",22499,1 
"67038","20035",676,1 
"67039","20015",3374,0.972 
"67039","20035",98,0.028 
"67041","20015",218,1 
"67042","20015",17127,1 
"67045","20073",4078,1 
"67047","20049",104,0.123 
"67047","20073",478,0.567 
"67047","20205",261,0.31 
"67049","20077",64,0.914 
"67049","20191",6,0.086 
"67050","20173",1766,1 
"67051","20035",32,0.066 
"67051","20191",453,0.934 
"67052","20173",5799,1 
"67053","20115",592,1 
"67054","20097",1943,1 
"67056","20079",2704,1 
"67057","20007",254,1 
"67058","20077",2189,0.99 
"67058","20095",22,0.01 
"67059","20047",102,0.104 
"67059","20097",845,0.863 
"67059","20151",32,0.033 
"67060","20173",11542,1 
"67061","20007",204,0.84 
"67061","20077",39,0.16 
"67062","20079",4053,0.994 
"67062","20113",26,0.006 
"67063","20115",3848,1 
"67065","20007",175,0.697 
"67065","20151",76,0.303 
"67066","20151",321,1 
"67067","20173",1232,1 
"67068","20095",4705,0.987 
"67068","20155",64,0.013 
"67070","20007",1230,1 
"67071","20007",137,1 
"67072","20015",302,0.932 
"67072","20035",8,0.025 
"67072","20049",14,0.043 
"67073","20115",351,1 
"67074","20015",1717,1 
"670XX","20035",4,1 
"67101","20173",2502,1 
"67102","20035",45,1 
"67103","20191",292,1 
"67104","20007",2725,1 
"67105","20191",260,1 
"67106","20095",7,0.015 
"67106","20173",69,0.152 
"67106","20191",377,0.832 
"67107","20079",309,0.111 
"67107","20113",2478,0.889 
"67108","20155",464,0.242 
"67108","20173",1456,0.758 
"67109","20097",421,1 
"67110","20035",79,0.01 
"67110","20173",5160,0.663 
"67110","20191",2548,0.327 
"67111","20095",401,1 
"67112","20007",5,0.016 
"67112","20095",314,0.984 
"67114","20015",186,0.009 
"67114","20079",20016,0.97 
"67114","20113",32,0.002 
"67114","20115",409,0.02 
"67117","20079",1446,1 
"67118","20077",6,0.007 
"67118","20095",878,0.967 
"67118","20173",16,0.018 
"67118","20191",8,0.009 
"67119","20035",143,0.086 
"67119","20191",1527,0.914 
"67120","20173",483,0.36 
"67120","20191",857,0.64 
"67122","20049",50,0.225 
"67122","20073",172,0.775 
"67123","20015",718,1 
"67124","20151",8031,1 
"67127","20025",34,0.044 
"67127","20033",737,0.956 
"67128","20095",113,1 
"67131","20035",87,1 
"67132","20015",349,1 
"67133","20015",6047,1 
"67134","20007",25,0.063 
"67134","20151",374,0.937 
"67135","20079",2000,0.631 
"67135","20173",1170,0.369 
"67137","20049",44,0.058 
"67137","20073",713,0.942 
"67138","20007",413,0.988 
"67138","20077",5,0.012 
"67140","20191",894,1 
"67142","20095",391,1 
"67143","20007",98,1 
"67144","20015",2947,1 
"67146","20035",1678,0.931 
"67146","20191",125,0.069 
"67147","20079",63,0.008 
"67147","20173",8011,0.992 
"67149","20173",1049,1 
"67150","20077",29,1 
"67151","20079",490,0.933 
"67151","20115",35,0.067 
"67152","20191",10046,1 
"67154","20015",1338,0.864 
"67154","20079",211,0.136 
"67155","20033",181,0.887 
"67155","20097",23,0.113 
"67156","20035",15167,1 
"67159","20077",25,0.153 
"67159","20095",138,0.847 
"67202","20173",860,1 
"67203","20173",31020,1 
"67204","20173",20225,1 
"67205","20173",8390,1 
"67206","20173",13377,1 
"67207","20173",22702,1 
"67208","20173",19346,1 
"67209","20173",12725,1 
"67210","20173",11203,1 
"67211","20173",20867,1 
"67212","20173",45590,1 
"67213","20173",21558,1 
"67214","20173",17875,1 
"67215","20173",4363,1 
"67216","20173",25322,1 
"67217","20173",29985,1 
"67218","20173",23589,1 
"67219","20173",10538,1 
"67220","20173",12154,1 
"67226","20173",14869,1 
"67230","20015",4,0.001 
"67230","20173",6198,0.999 
"67235","20173",6270,1 
"67301","20125",13739,1 
"67330","20099",1570,1 
"67332","20099",272,1 
"67333","20125",2995,1 
"67334","20019",76,1 
"67335","20099",408,0.112 
"67335","20125",3229,0.886 
"67335","20205",8,0.002 
"67336","20021",188,0.104 
"67336","20099",1616,0.896 
"67337","20099",303,0.021 
"67337","20125",13969,0.979 
"67340","20125",411,1 
"67341","20099",314,1 
"67342","20099",943,1 
"67344","20019",169,0.179 
"67344","20049",69,0.073 
"67344","20125",708,0.748 
"67345","20049",177,1 
"67346","20019",78,0.191 
"67346","20049",330,0.809 
"67347","20019",51,0.143 
"67347","20125",306,0.857 
"67349","20049",1191,1 
"67351","20099",38,0.097 
"67351","20125",353,0.903 
"67352","20019",36,0.053 
"67352","20049",637,0.947 
"67353","20019",50,0.076 
"67353","20049",612,0.924 
"67354","20099",790,1 
"67355","20019",256,1 
"67356","20021",57,0.019 
"67356","20099",2950,0.981 
"67357","20099",13560,0.966 
"67357","20133",471,0.034 
"67360","20019",433,1 
"67361","20019",2224,1 
"67363","20125",74,1 
"67364","20125",226,1 
"673XX","20049",5,1 
"67401","20143",133,0.003 
"67401","20169",49277,0.997 
"67410","20027",46,0.005 
"67410","20041",9872,0.995 
"67416","20113",1,0.001 
"67416","20169",1249,0.999 
"67417","20029",239,1 
"67418","20105",241,0.916 
"67418","20123",22,0.084 
"67420","20029",39,0.008 
"67420","20089",3,0.001 
"67420","20123",5050,0.992 
"67422","20143",1132,1 
"67423","20105",425,1 
"67425","20053",133,0.201 
"67425","20169",528,0.799 
"67427","20053",47,0.096 
"67427","20159",444,0.904 
"67428","20113",1540,0.952 
"67428","20115",77,0.048 
"67430","20089",96,0.125 
"67430","20123",641,0.832 
"67430","20141",11,0.014 
"67430","20183",22,0.029 
"67431","20041",2264,1 
"67432","20027",6167,0.989 
"67432","20143",59,0.009 
"67432","20161",10,0.002 
"67436","20029",50,0.065 
"67436","20143",714,0.935 
"67437","20141",1245,0.961 
"67437","20183",51,0.039 
"67438","20115",324,1 
"67439","20053",3545,0.996 
"67439","20105",14,0.004 
"67441","20041",1098,1 
"67442","20169",223,1 
"67443","20113",1596,1 
"67444","20053",175,0.316 
"67444","20159",378,0.684 
"67445","20029",752,0.988 
"67445","20143",9,0.012 
"67446","20089",45,0.066 
"67446","20123",641,0.934 
"67447","20027",314,0.837 
"67447","20161",61,0.163 
"67448","20041",200,0.141 
"67448","20113",269,0.189 
"67448","20169",951,0.67 
"67449","20041",2913,0.884 
"67449","20115",6,0.002 
"67449","20127",376,0.114 
"67450","20009",37,0.059 
"67450","20053",586,0.941 
"67451","20041",1051,1 
"67452","20105",82,0.342 
"67452","20123",158,0.658 
"67454","20053",650,1 
"67455","20105",2046,1 
"67456","20113",3903,0.862 
"67456","20169",627,0.138 
"67457","20159",884,1 
"67458","20027",210,0.913 
"67458","20143",20,0.087 
"67459","20053",241,1 
"67460","20113",15987,1 
"67464","20053",147,0.143 
"67464","20113",883,0.857 
"67466","20027",22,0.027 
"67466","20029",742,0.894 
"67466","20143",66,0.08 
"67467","20143",2943,1 
"67468","20027",402,1 
"67470","20143",14,0.026 
"67470","20169",525,0.974 
"67473","20141",1945,1 
"67474","20141",195,0.806 
"67474","20183",47,0.194 
"67475","20041",19,0.104 
"67475","20115",163,0.896 
"67478","20123",93,1 
"67480","20041",1361,0.798 
"67480","20143",210,0.123 
"67480","20169",134,0.079 
"67481","20105",686,1 
"67482","20041",97,1 
"67483","20115",382,1 
"67484","20105",22,0.023 
"67484","20143",863,0.892 
"67484","20169",83,0.086 
"67485","20123",327,0.801 
"67485","20141",81,0.199 
"67487","20027",1258,0.968 
"67487","20041",33,0.025 
"67487","20061",8,0.006 
"67490","20053",1001,0.91 
"67490","20105",43,0.039 
"67490","20167",56,0.051 
"67491","20113",365,0.88 
"67491","20159",50,0.12 
"67492","20041",303,1 
"67501","20155",27875,1 
"67502","20155",23019,0.998 
"67502","20159",40,0.002 
"67505","20155",2548,1 
"67510","20155",364,1 
