"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"63662","29017",1162,1 
"63663","29093",585,1 
"63664","29221",8525,1 
"63665","29179",306,1 
"63670","29186",11654,1 
"63673","29157",595,0.291 
"63673","29186",1447,0.709 
"63674","29221",146,1 
"63675","29093",157,1 
"63701","29031",32331,1 
"63703","29031",9561,1 
"63730","29017",421,0.127 
"63730","29031",385,0.116 
"63730","29207",2522,0.758 
"63732","29031",243,0.383 
"63732","29157",391,0.617 
"63735","29201",54,0.06 
"63735","29207",844,0.94 
"63736","29201",3211,1 
"63738","29207",74,1 
"63739","29031",621,1 
"63740","29031",1087,0.199 
"63740","29201",4379,0.801 
"63742","29201",110,1 
"63743","29031",46,1 
"63747","29031",388,1 
"63748","29157",1127,1 
"63750","29017",131,1 
"63751","29017",1029,1 
"63753","29017",259,1 
"63755","29031",20710,1 
"63758","29201",208,1 
"63760","29017",646,1 
"63763","29223",138,1 
"63764","29017",5624,0.972 
"63764","29031",160,0.028 
"63766","29017",153,0.162 
"63766","29031",791,0.838 
"63767","29201",787,1 
"63769","29031",1300,1 
"63770","29031",108,0.939 
"63770","29157",7,0.061 
"63771","29031",10,0.004 
"63771","29201",2603,0.913 
"63771","29207",239,0.084 
"63774","29201",170,1 
"63775","29017",53,0.003 
"63775","29031",95,0.006 
"63775","29157",15851,0.991 
"63780","29031",2,0 
"63780","29201",6522,1 
"63781","29017",1072,1 
"63782","29017",375,1 
"63783","29157",161,1 
"63784","29201",272,1 
"63785","29017",16,0.018 
"63785","29031",855,0.982 
"63787","29017",623,0.911 
"63787","29223",61,0.089 
"63801","29133",47,0.002 
"63801","29143",2113,0.089 
"63801","29201",21543,0.906 
"63801","29207",76,0.003 
"63820","29133",301,1 
"63821","29069",999,1 
"63822","29069",45,0.016 
"63822","29207",2758,0.984 
"63823","29133",1131,0.978 
"63823","29201",25,0.022 
"63824","29201",120,1 
"63825","29207",4429,1 
"63826","29155",178,1 
"63827","29155",1151,1 
"63828","29143",352,1 
"63829","29069",1257,1 
"63830","29155",7680,1 
"63833","29143",235,0.836 
"63833","29207",46,0.164 
"63834","29133",5633,0.931 
"63834","29201",418,0.069 
"63837","29069",1700,0.994 
"63837","29143",10,0.006 
"63839","29155",526,1 
"63841","29207",12887,1 
"63845","29133",5785,0.988 
"63845","29143",68,0.012 
"63846","29207",1548,1 
"63847","29069",126,1 
"63848","29143",1506,0.982 
"63848","29155",27,0.018 
"63849","29069",144,0.634 
"63849","29155",83,0.366 
"63850","29207",54,1 
"63851","29155",4622,1 
"63852","29069",1506,0.981 
"63852","29155",29,0.019 
"63853","29155",277,1 
"63855","29069",1235,1 
"63857","29069",13129,0.998 
"63857","29155",21,0.002 
"63860","29143",153,1 
"63862","29143",1771,1 
"63863","29069",6788,0.976 
"63863","29143",167,0.024 
"63866","29143",658,1 
"63867","29143",1108,1 
"63868","29143",1041,1 
"63869","29143",4175,1 
"63870","29143",1160,0.861 
"63870","29207",187,0.139 
"63873","29143",4611,0.891 
"63873","29155",564,0.109 
"63874","29143",403,1 
"63876","29069",2302,1 
"63877","29069",109,0.027 
"63877","29155",3979,0.973 
"63878","29143",229,1 
"63879","29155",910,1 
"63880","29069",39,1 
"63882","29133",530,1 
"63901","29023",32579,0.999 
"63901","29181",19,0.001 
"63932","29023",1362,1 
"63933","29069",3776,1 
"63934","29223",93,1 
"63935","29035",62,0.006 
"63935","29149",89,0.009 
"63935","29181",9510,0.984 
"63936","29207",949,1 
"63937","29023",327,0.123 
"63937","29035",2280,0.86 
"63937","29223",43,0.016 
"63938","29023",31,1 
"63939","29181",1381,1 
"63940","29023",1377,1 
"63941","29035",410,0.765 
"63941","29149",92,0.172 
"63941","29181",34,0.063 
"63942","29149",115,0.171 
"63942","29181",557,0.829 
"63943","29035",750,0.861 
"63943","29181",121,0.139 
"63944","29223",1252,1 
"63945","29023",1171,1 
"63947","29223",262,1 
"63951","29223",394,1 
"63952","29223",563,1 
"63953","29023",104,0.063 
"63953","29181",1544,0.937 
"63954","29023",1247,0.94 
"63954","29181",80,0.06 
"63955","29181",263,1 
"63956","29223",861,1 
"63957","29179",354,0.064 
"63957","29223",5166,0.936 
"63960","29017",64,0.02 
"63960","29207",3092,0.98 
"63961","29023",1647,1 
"63963","29223",125,1 
"63964","29123",31,0.028 
"63964","29223",1067,0.972 
"63965","29035",2439,0.944 
"63965","29179",145,0.056 
"63966","29023",538,0.221 
"63966","29223",1899,0.779 
"63967","29023",484,0.29 
"63967","29223",1184,0.71 
"64001","29107",652,1 
"64011","29101",392,0.109 
"64011","29107",3214,0.891 
"64012","29037",25498,1 
"64014","29095",22841,1 
"64015","29095",28878,1 
"64016","29095",4077,1 
"64017","29107",10,0.021 
"64017","29177",477,0.979 
"64018","29165",913,1 
"64019","29101",2220,1 
"64020","29101",227,0.064 
"64020","29107",3293,0.931 
"64020","29195",16,0.005 
"64021","29107",785,1 
"64022","29107",145,1 
"64024","29047",12493,0.774 
"64024","29177",3651,0.226 
"64029","29095",8305,1 
"64030","29095",24874,1 
"64034","29037",933,0.157 
"64034","29095",4995,0.843 
"64035","29033",30,0.028 
"64035","29177",1036,0.972 
"64036","29177",474,1 
"64037","29101",11,0.002 
